AccX [mg],AccY,AccZ,Ground Truth
-299,1,936,1
-262,-3,956,1
-253,-30,950,1
-241,-31,963,1
-243,-37,970,1
-241,-31,974,1
-246,-29,982,1
-238,-27,982,1
-242,-28,980,1
-242,-31,980,1
-251,-40,985,1
-256,-38,988,1
-256,-42,994,1
-252,-52,977,1
-257,-63,1046,1
-257,-63,1046,1
-257,-63,1046,1
-239,-78,1029,1
-232,-90,1004,1
-221,-113,1003,1
-205,-106,999,1
-190,-119,988,1
-185,-130,979,1
-174,-147,980,1
-160,-165,964,1
-159,-179,955,1
-167,-180,944,1
-185,-190,944,1
-191,-203,953,1
-197,-200,970,1
-180,-208,985,1
-153,-224,991,1
-177,-254,959,1
-177,-254,959,1
-208,-239,980,1
-208,-228,1001,1
-168,-188,1031,1
-150,-177,1028,1
-149,-206,1017,1
-145,-227,1006,1
-157,-247,979,1
-179,-266,958,1
-206,-272,957,1
-202,-284,983,1
-191,-312,1002,1
-157,-368,1060,1
-109,-498,1171,1
-72,-692,1187,1
-99,-813,1073,1
-198,-770,941,1
-252,-365,934,1
-252,-365,934,1
-278,-355,872,1
-276,-388,847,1
-249,-331,884,1
-239,-347,908,1
-201,-352,835,1
-113,-275,785,1
-36,-92,806,1
45,-84,832,1
31,-235,946,1
-41,-428,858,1
-136,-462,804,1
-104,-606,784,1
5,-167,879,1
-41,-175,942,1
-146,-534,824,1
-136,-360,834,1
-129,-358,871,1
-166,-237,883,1
-166,-237,883,1
-151,-234,960,1
-213,-142,1014,1
-99,-234,870,1
-166,28,644,1
-174,454,608,1
-260,602,685,1
-286,557,708,1
-428,427,509,1
-584,439,450,1
-627,623,520,1
-542,787,540,1
-672,1003,393,1
-737,1190,402,1
-678,1188,496,1
-599,1087,560,1
-507,980,428,1
-435,935,399,1
-435,935,399,1
-463,1023,205,1
-327,834,42,1
-387,934,111,1
-376,944,100,1
-382,940,81,1
-420,957,98,1
-360,899,25,1
-368,873,46,1
-384,847,-22,1
-357,796,-62,1
-427,830,-59,1
-441,946,80,1
-352,849,76,1
-390,900,87,1
-387,919,47,1
-371,898,37,1
-338,871,-37,1
-350,932,-86,1
-346,987,-181,1
-346,987,-181,1
-298,914,-153,1
-274,976,-22,1
-190,950,-10,1
-171,959,-56,1
-185,782,33,1
-288,995,37,1
-318,1082,160,1
-291,1156,405,1
-249,1109,439,1
-239,994,418,1
-246,919,516,1
-130,954,543,1
-115,946,533,1
-108,923,553,1
-108,801,606,1
-162,711,620,1
-177,656,639,1
-201,520,627,1
-201,520,627,1
-380,543,652,1
-408,566,673,1
-344,744,632,1
-276,851,643,1
-321,709,670,1
-284,654,616,1
-269,652,577,1
-288,622,511,1
-216,842,520,1
-205,752,611,1
-219,687,619,1
-256,743,548,1
-261,760,505,1
-277,767,539,1
-270,765,574,1
-204,811,563,1
-183,791,572,1
-183,791,572,1
-183,791,572,1
-248,801,556,1
-299,876,540,1
-322,904,550,1
-325,859,571,1
-351,854,565,1
-392,891,537,1
-388,913,537,1
-333,952,568,1
-254,933,608,1
-230,768,635,1
-258,635,621,1
-318,623,584,1
-417,608,554,1
-478,600,532,1
-498,603,494,1
-535,562,481,1
-577,455,507,1
-602,399,530,1
-632,426,546,1
-649,549,553,1
-618,648,571,1
-594,647,603,1
-548,611,596,1
-490,622,591,1
-408,680,629,1
-317,778,697,1
-354,641,735,1
-478,496,718,1
-596,542,640,1
-672,621,545,1
-631,705,518,1
-526,714,558,1
-453,598,614,1
-474,492,643,1
-497,532,628,1
-517,558,643,1
-527,558,646,1
-502,686,655,1
-444,871,696,1
-314,905,734,1
-222,427,663,1
-388,73,585,1
-664,370,523,1
-680,932,429,1
-522,1127,455,1
-430,724,554,1
