Sensors' Acquisition [Hz]: Acc@26.0 
hh:mm:ss.ms, Annotation , AccX [mg], AccY, AccZ
02:59:55.371,,-370,52,966
02:59:55.408,,-349,-99,960
02:59:55.431,>Car (driving),,,
02:59:55.445,,-301,-58,975
02:59:55.482,,-292,-86,898
02:59:55.519,,-324,-106,918
02:59:55.556,,-354,-106,979
02:59:55.593,,-412,-55,976
02:59:55.630,,-440,-50,1026
02:59:55.667,,-386,15,1033
02:59:55.704,,-374,-4,962
02:59:55.741,,-332,-31,945
02:59:55.778,,-341,-17,920
02:59:55.815,,-331,-73,979
02:59:55.852,,-350,0,980
02:59:55.890,,-364,19,1005
02:59:55.927,,-335,-24,1026
02:59:55.964,,-333,79,1032
02:59:56.001,,-389,94,962
02:59:56.038,,-438,37,949
02:59:56.075,,-477,47,991
02:59:56.112,,-423,19,969
02:59:56.149,,-407,-47,934
02:59:56.186,,-461,-80,953
02:59:56.223,,-481,-31,882
02:59:56.260,,-494,-93,869
02:59:56.297,,-462,-66,865
02:59:56.334,,-427,-162,895
02:59:56.371,,-487,-105,884
02:59:56.408,,-452,-100,843
02:59:56.445,,-436,-130,843
02:59:56.482,,-378,-126,891
02:59:56.519,,-261,-5,835
02:59:56.556,,-296,-404,1052
02:59:56.593,,-381,-109,937
02:59:56.631,,-307,-268,957
02:59:56.668,,-275,-231,973
02:59:56.705,,-271,-335,952
02:59:56.742,,-274,-252,968
02:59:56.779,,-302,-309,999
02:59:56.816,,-326,-308,1004
02:59:56.853,,-306,-276,992
02:59:56.890,,-323,-356,1059
02:59:56.927,,-338,-272,1059
02:59:56.964,,-311,-291,1068
02:59:57.001,,-329,-226,1028
02:59:57.038,,-276,-251,1051
02:59:57.075,,-225,-191,992
02:59:57.112,,-180,-173,957
02:59:57.149,,-145,-167,979
02:59:57.186,,-192,-265,965
02:59:57.223,,-287,-115,969
02:59:57.260,,-271,-201,950
02:59:57.297,,-221,-170,941
02:59:57.334,,-220,-186,981
02:59:57.371,,-235,-136,1016
02:59:57.409,,-213,-149,1031
02:59:57.446,,-155,-177,1060
02:59:57.483,,-155,-173,1065
02:59:57.520,,-117,-126,1064
02:59:57.557,,-146,-163,1065
02:59:57.594,,-156,-74,1033
02:59:57.631,,-141,-133,1015
02:59:57.668,,-157,-163,995
02:59:57.705,,-171,-191,990
02:59:57.742,,-185,-140,1009
02:59:57.779,,-227,-164,962
02:59:57.816,,-232,-211,964
02:59:57.853,,-176,-263,946
02:59:57.890,,-147,-235,989
02:59:57.927,,-185,-241,1013
02:59:57.964,,-177,-240,1019
02:59:58.001,,-146,-211,1080
02:59:58.038,,-165,-264,1077
02:59:58.075,,-194,-256,1075
02:59:58.112,,-212,-246,1020
02:59:58.149,,-171,-233,1000
02:59:58.187,,-157,-228,923
02:59:58.224,,-105,-217,941
02:59:58.261,,-97,-182,929
02:59:58.298,,-89,-305,941
02:59:58.335,,-62,-319,992
02:59:58.372,,-31,-365,969
02:59:58.409,,-56,-396,1000
02:59:58.446,,-41,-375,973
02:59:58.483,,-17,-414,980
02:59:58.520,,-17,-372,985
02:59:58.557,,-49,-439,1010
02:59:58.594,,-15,-431,999
02:59:58.631,,-1,-443,989
02:59:58.668,,15,-488,992
02:59:58.705,,-15,-366,999
02:59:58.742,,35,-450,1046
02:59:58.779,,-13,-437,927
02:59:58.816,,-11,-439,957
02:59:58.854,,29,-466,944
02:59:58.891,,0,-450,926
02:59:58.928,,41,-450,948
02:59:58.965,,51,-444,945
02:59:59.002,,55,-465,989
02:59:59.039,,6,-454,997
02:59:59.076,,-40,-435,979
02:59:59.113,,-27,-430,995
02:59:59.150,,-90,-417,952
02:59:59.187,,-21,-442,921
02:59:59.224,,40,-458,952
02:59:59.261,,-16,-417,1015
02:59:59.298,,-15,-405,1020
02:59:59.335,,3,-417,1060
02:59:59.372,,-26,-406,1054
02:59:59.409,,-64,-421,1055
02:59:59.446,,-41,-380,1017
02:59:59.483,,-5,-378,975
02:59:59.520,,-42,-381,943
02:59:59.558,,-1,-312,902
02:59:59.595,,-8,-357,930
02:59:59.632,,14,-350,973
02:59:59.669,,-43,-372,984
02:59:59.706,,-92,-383,987
02:59:59.743,,-74,-414,968
02:59:59.780,,-100,-354,997
02:59:59.817,,-93,-305,963
02:59:59.854,,-120,-321,961
02:59:59.891,,-108,-310,967
02:59:59.928,,-134,-318,996
02:59:59.965,,-141,-305,982
03:00:00.002,,-158,-308,1004
03:00:00.039,,-171,-262,979
03:00:00.076,,-167,-263,972
03:00:00.113,,-171,-271,932
03:00:00.150,,-165,-240,900
03:00:00.187,,-209,-257,884
03:00:00.225,,-173,-238,918
03:00:00.262,,-210,-307,930
03:00:00.299,,-217,-231,999
03:00:00.336,,-295,-305,1019
03:00:00.373,,-247,-215,1004
03:00:00.410,,-227,-261,982
03:00:00.447,,-243,-253,997
03:00:00.484,,-237,-191,1010
03:00:00.521,,-234,-239,960
03:00:00.558,,-210,-245,999
03:00:00.595,,-221,-236,981
03:00:00.632,,-267,-184,982
03:00:00.669,,-186,-153,972
03:00:00.706,,-166,-320,1129
03:00:00.743,,-339,-144,948
03:00:00.780,,-304,-145,1073
03:00:00.817,,-256,-351,980
03:00:00.854,,-268,-271,904
03:00:00.891,,-242,-195,856
03:00:00.929,,-239,-317,926
03:00:00.966,,-216,-195,904
03:00:01.003,,-208,-240,1030
03:00:01.040,,-341,-379,1075
03:00:01.077,,-309,-152,1114
03:00:01.114,,-226,-133,1185
03:00:01.151,,-238,-219,1087
03:00:01.188,,-248,-89,967
03:00:01.225,,-276,-103,935
03:00:01.262,,-319,-319,1037
03:00:01.299,,-304,-193,972
03:00:01.336,,-301,-168,1031
03:00:01.373,,-286,-329,1027
03:00:01.410,,-261,-211,1027
03:00:01.447,,-314,-150,1032
03:00:01.484,,-373,-112,970
03:00:01.521,,-327,-124,1000
03:00:01.558,,-271,-175,935
03:00:01.595,,-276,-155,891
03:00:01.632,,-316,-63,930
03:00:01.670,,-279,-122,864
03:00:01.707,,-311,-200,915
03:00:01.744,,-307,-164,915
03:00:01.781,,-320,-171,837
03:00:01.818,,-261,-216,911
03:00:01.855,,-270,-252,967
03:00:01.892,,-323,-247,980
03:00:01.929,,-348,-200,975
03:00:01.966,,-345,-136,956
03:00:02.003,,-327,-175,1026
03:00:02.040,,-366,-166,942
03:00:02.077,,-373,-137,1013
03:00:02.114,,-386,-135,968
03:00:02.151,,-340,-109,976
03:00:02.188,,-338,-168,980
03:00:02.225,,-359,-177,970
03:00:02.262,,-357,-135,901
03:00:02.299,,-295,-184,927
03:00:02.336,,-375,-166,957
03:00:02.374,,-422,-142,1002
03:00:02.411,,-424,-78,1028
03:00:02.448,,-354,-144,1043
03:00:02.485,,-346,-132,1010
03:00:02.522,,-366,-99,967
03:00:02.559,,-405,-117,915
03:00:02.596,,-366,-50,842
03:00:02.633,,-373,-248,891
03:00:02.670,,-399,-215,839
03:00:02.707,,-393,-115,871
03:00:02.744,,-368,-77,879
03:00:02.781,,-368,-142,900
03:00:02.818,,-368,-102,961
03:00:02.855,,-355,-119,958
03:00:02.892,,-348,-39,979
03:00:02.929,,-357,-147,999
03:00:02.966,,-364,-75,898
03:00:03.003,,-350,-135,961
03:00:03.040,,-366,-81,925
03:00:03.077,,-428,-143,901
03:00:03.114,,-378,-141,878
03:00:03.152,,-422,-199,945
03:00:03.189,,-437,-143,934
03:00:03.226,,-475,-83,907
03:00:03.263,,-423,-91,954
03:00:03.300,,-430,-137,979
03:00:03.337,,-398,-81,980
03:00:03.374,,-378,-70,954
03:00:03.411,,-403,-74,949
03:00:03.448,,-423,-59,920
03:00:03.485,,-377,-46,928
03:00:03.522,,-333,-66,924
03:00:03.559,,-375,-61,894
03:00:03.596,,-363,-44,936
03:00:03.633,,-374,-25,951
03:00:03.670,,-349,-25,980
03:00:03.707,,-376,-26,1004
03:00:03.744,,-348,-22,966
03:00:03.781,,-321,-6,933
03:00:03.818,,-355,-12,934
03:00:03.855,,-398,1,957
03:00:03.893,,-375,41,962
03:00:03.930,,-338,-4,984
03:00:03.967,,-346,-23,998
03:00:04.004,,-379,7,974
03:00:04.041,,-363,13,970
03:00:04.078,,-353,-34,894
03:00:04.115,,-365,-55,949
03:00:04.152,,-386,-34,931
03:00:04.189,,-413,-54,910
03:00:04.226,,-371,-51,1004
03:00:04.263,,-390,-93,960
03:00:04.300,,-326,-49,993
03:00:04.337,,-330,-82,1001
03:00:04.374,,-350,-5,973
03:00:04.411,,-349,47,1027
03:00:04.448,,-359,-23,935
03:00:04.485,,-319,-30,947
03:00:04.522,,-337,-27,894
03:00:04.559,,-332,-23,936
03:00:04.597,,-305,-50,978
03:00:04.634,,-322,-35,1023
03:00:04.671,,-297,-20,1001
03:00:04.708,,-294,-138,978
03:00:04.745,,-288,172,1001
03:00:04.782,,-299,-8,1005
03:00:04.819,,-316,48,999
03:00:04.856,,-327,100,904
03:00:04.893,,-340,-11,842
03:00:04.930,,-296,-132,891
03:00:04.967,,-245,-119,882
03:00:05.004,,-197,-4,836
03:00:05.041,,-212,86,759
03:00:05.078,,-226,345,767
03:00:05.115,,-310,383,784
03:00:05.152,,-367,259,737
03:00:05.189,,-403,245,692
03:00:05.226,,-435,669,731
03:00:05.263,,-538,535,781
03:00:05.300,,-643,523,844
03:00:05.338,,-607,409,907
03:00:05.375,,-635,690,648
03:00:05.412,,-584,918,442
03:00:05.449,,-595,1051,264
03:00:05.486,,-572,757,552
03:00:05.523,,-485,656,505
03:00:05.560,,-450,762,426
03:00:05.597,,-436,676,447
03:00:05.634,,-443,664,464
03:00:05.671,,-467,693,466
03:00:05.708,,-441,777,409
03:00:05.745,,-399,572,430
03:00:05.782,,-401,692,399
03:00:05.819,,-474,865,264
03:00:05.856,,-597,910,277
03:00:05.893,,-488,815,381
03:00:05.930,,-535,800,450
03:00:05.968,,-471,808,350
03:00:06.005,,-493,791,349
03:00:06.042,,-433,685,431
03:00:06.079,,-427,705,375
03:00:06.116,,-482,739,462
03:00:06.153,,-475,895,363
03:00:06.190,,-465,774,377
03:00:06.227,,-478,768,381
03:00:06.264,,-451,775,358
03:00:06.301,,-426,711,313
03:00:06.338,,-430,814,376
03:00:06.375,,-461,756,473
03:00:06.412,,-515,344,700
03:00:06.449,,-514,898,582
03:00:06.486,,-463,530,605
03:00:06.523,,-424,577,620
03:00:06.560,,-429,623,592
03:00:06.597,,-475,683,594
03:00:06.634,,-436,628,619
03:00:06.672,,-435,622,596
03:00:06.709,,-451,683,604
03:00:06.746,,-455,659,587
03:00:06.783,,-479,660,571
03:00:06.820,,-456,646,602
03:00:06.857,,-447,633,606
03:00:06.894,,-493,653,593
03:00:06.931,,-470,688,582
03:00:06.968,,-462,664,572
03:00:07.005,,-460,726,584
03:00:07.042,,-484,590,606
03:00:07.079,,-498,705,571
03:00:07.116,,-470,662,599
03:00:07.153,,-476,618,609
03:00:07.190,,-461,638,579
03:00:07.227,,-449,651,581
03:00:07.264,,-463,651,586
03:00:07.301,,-459,666,575
03:00:07.338,,-422,676,552
03:00:07.376,,-438,650,582
03:00:07.413,,-415,639,570
03:00:07.450,,-384,709,510
03:00:07.487,,-353,649,521
03:00:07.524,,-376,686,520
03:00:07.561,,-408,701,538
03:00:07.598,,-447,726,528
03:00:07.635,,-434,775,536
03:00:07.672,,-461,803,516
03:00:07.709,,-452,818,520
03:00:07.746,,-444,835,467
03:00:07.783,,-371,811,370
03:00:07.820,,-249,759,312
03:00:07.857,,-316,796,270
03:00:07.894,,-407,782,397
03:00:07.931,,-480,790,528
03:00:07.968,,-577,680,651
03:00:08.005,,-635,736,736
03:00:08.043,,-566,697,546
03:00:08.080,,-423,889,539
03:00:08.117,,-349,928,489
03:00:08.154,,-425,724,455
03:00:08.191,,-422,787,525
03:00:08.228,,-430,730,531
03:00:08.265,,-438,734,546
03:00:08.302,,-404,708,533
03:00:08.339,,-391,682,515
03:00:08.376,,-420,702,557
03:00:08.413,,-443,699,576
03:00:08.450,,-453,731,594
03:00:08.487,,-476,721,605
03:00:08.524,,-467,696,624
03:00:08.561,,-462,667,636
03:00:08.598,,-445,651,615
03:00:08.635,,-465,635,631
03:00:08.673,,-482,673,678
03:00:08.710,,-524,610,736
03:00:08.747,,-578,678,767
03:00:08.784,,-614,645,784
03:00:08.821,,-567,586,722
03:00:08.858,,-517,568,752
03:00:08.895,,-489,542,740
03:00:08.932,,-420,456,698
03:00:08.969,,-332,391,726
03:00:09.006,,-310,299,686
03:00:09.043,,-218,303,704
03:00:09.080,,-200,175,781
03:00:09.117,,-199,123,787
03:00:09.154,,-248,206,873
03:00:09.191,,-340,246,904
03:00:09.228,,-392,359,916
03:00:09.265,,-384,302,969
03:00:09.302,,-365,288,927
03:00:09.339,,-282,306,952
03:00:09.376,,-281,253,898
03:00:09.414,,-221,327,904
03:00:09.451,,-238,323,935
03:00:09.488,,-239,311,937
03:00:09.525,,-243,338,950
03:00:09.562,,-268,327,965
03:00:09.599,,-265,334,948
03:00:09.636,,-295,357,953
03:00:09.673,,-281,340,971
03:00:09.710,,-303,381,986
03:00:09.747,,-233,332,963
03:00:09.784,,-272,354,949
03:00:09.821,,-265,340,933
03:00:09.858,,-293,374,935
03:00:09.895,,-356,455,966
03:00:09.932,,-363,451,934
03:00:09.969,,-411,553,934
03:00:10.006,,-410,449,915
03:00:10.043,,-302,193,935
03:00:10.080,,-288,97,863
03:00:10.118,,-298,130,868
03:00:10.155,,-217,-27,935
03:00:10.192,,-197,-29,922
03:00:10.229,,-303,114,899
03:00:10.266,,-342,98,961
03:00:10.303,,-341,148,983
03:00:10.340,,-313,168,934
03:00:10.377,,-316,199,928
03:00:10.414,,-337,221,977
03:00:10.451,,-354,224,976
03:00:10.488,,-338,211,987
03:00:10.525,,-346,238,963
03:00:10.562,,-295,168,949
03:00:10.599,,-302,160,945
03:00:10.636,,-314,170,957
03:00:10.673,,-303,161,951
03:00:10.710,,-315,172,949
03:00:10.748,,-332,148,953
03:00:10.785,,-330,160,976
03:00:10.822,,-348,171,962
03:00:10.859,,-425,279,950
03:00:10.896,,-409,182,931
03:00:10.933,,-376,170,958
03:00:10.970,,-355,106,961
03:00:11.007,,-308,48,950
03:00:11.044,,-266,-20,973
03:00:11.081,,-257,-13,996
03:00:11.118,,-250,-94,970
03:00:11.155,,-132,-5,990
03:00:11.192,,-19,-193,776
03:00:11.229,,-17,-361,396
03:00:11.266,,116,361,834
03:00:11.303,,-65,614,665
03:00:11.340,,-291,969,591
03:00:11.377,,-334,520,809
03:00:11.414,,-291,349,794
03:00:11.451,,-278,548,945
03:00:11.488,,-415,674,939
03:00:11.526,,-355,548,949
03:00:11.563,,-296,490,952
03:00:11.600,,-346,497,984
03:00:11.637,,-381,470,1107
03:00:11.674,,-384,424,1338
03:00:11.711,,-248,220,1596
03:00:11.748,,-66,163,1678
03:00:11.785,,40,6,1617
03:00:11.822,,268,-233,1514
03:00:11.859,,522,-279,1358
03:00:11.896,,518,-103,1262
03:00:11.933,,432,-47,1221
03:00:11.970,,516,-182,1112
03:00:12.007,,485,-236,949
03:00:12.044,,443,-132,939
03:00:12.081,,299,-123,822
03:00:12.118,,241,0,705
03:00:12.155,,178,-272,890
03:00:12.193,,-79,262,663
03:00:12.230,,-147,50,497
03:00:12.267,,75,329,377
03:00:12.304,,-67,857,348
03:00:12.341,,-366,818,603
03:00:12.378,,-482,667,623
03:00:12.415,,-445,754,582
03:00:12.452,,-556,808,699
03:00:12.489,,-631,588,761
03:00:12.526,,-669,656,740
03:00:12.563,,-548,989,601
03:00:12.600,,-491,754,645
03:00:12.637,,-403,731,630
03:00:12.674,,-434,671,711
03:00:12.711,,-346,620,565
03:00:12.748,,-408,676,666
03:00:12.785,,-496,633,598
03:00:12.822,,-478,573,568
03:00:12.860,,-350,680,564
03:00:12.897,,-366,717,589
03:00:12.934,,-427,731,578
03:00:12.971,,-453,703,601
03:00:13.008,,-453,645,646
03:00:13.045,,-491,598,677
03:00:13.082,,-445,714,618
03:00:13.119,,-438,648,605
03:00:13.156,,-443,617,604
03:00:13.193,,-467,690,620
03:00:13.230,,-407,582,622
03:00:13.267,,-392,563,640
03:00:13.304,,-407,559,644
03:00:13.341,,-412,675,632
03:00:13.378,,-409,664,589
03:00:13.415,,-436,536,635
03:00:13.452,,-472,523,732
03:00:13.490,,-477,489,741
03:00:13.527,,-477,587,714
03:00:13.564,,-477,582,717
03:00:13.601,,-485,560,751
03:00:13.638,,-520,574,846
03:00:13.675,,-458,553,797
03:00:13.712,,-424,614,771
03:00:13.749,,-424,576,815
03:00:13.786,,-491,630,816
03:00:13.823,,-460,635,775
03:00:13.860,,-444,610,766
03:00:13.897,,-455,582,797
03:00:13.934,,-450,607,788
03:00:13.971,,-436,641,697
03:00:14.008,,-313,653,648
03:00:14.045,,-358,657,736
03:00:14.082,,-450,460,771
03:00:14.119,,-481,475,747
03:00:14.157,,-464,470,818
03:00:14.194,,-391,572,868
03:00:14.231,,-421,513,712
03:00:14.268,,-346,382,670
03:00:14.305,,-358,447,714
03:00:14.342,,-413,487,737
03:00:14.379,,-366,366,789
03:00:14.416,,-371,252,755
03:00:14.453,,-336,347,791
