AccX [mg],AccY,AccZ,Ground Truth
-565,846,-224,-1
-541,828,-211,-1
-534,806,-166,-1
-513,793,-106,-1
-510,755,-99,-1
-518,693,-104,-1
-494,723,-109,-1
-517,730,-147,-1
-559,775,-195,-1
-514,789,-177,-1
-551,742,-167,-1
-610,901,-227,-1
-562,857,-181,-1
-538,763,-266,-1
-590,837,-271,-1
-575,788,-395,-1
-502,714,-495,-1
-519,849,-420,-1
-522,544,-492,-1
-547,627,-494,-1
-552,594,-551,-1
-548,577,-516,-1
-554,602,-495,-1
-582,571,-465,-1
-575,552,-535,-1
-586,619,-512,-1
-558,581,-547,-1
-584,622,-530,-1
-558,671,-577,-1
-561,616,-568,-1
-554,628,-552,-1
-546,558,-571,-1
-550,596,-546,-1
-576,629,-588,-1
-591,542,-537,-1
-550,548,-515,-1
-557,655,-515,-1
-533,632,-490,-1
-521,752,-484,-1
-510,728,-470,-1
-528,755,-486,-1
-539,760,-410,-1
-515,653,-412,-1
-508,594,-446,-1
-530,612,-421,-1
-524,709,-440,-1
-542,739,-378,-1
-520,771,-432,-1
-515,746,-440,-1
-498,779,-361,-1
-479,810,-439,-1
-465,765,-420,-1
-457,796,-344,-1
-452,822,-458,-1
-468,853,-314,-1
-416,951,-317,-1
-469,748,-204,-1
-462,759,-140,-1
-454,687,-191,-1
-390,864,-157,-1
-347,898,-158,-1
-344,886,-151,-1
-372,1085,-166,-1
-404,860,-128,-1
-334,927,-191,-1
-429,742,-79,-1
-430,926,-42,-1
-443,865,-92,-1
-448,904,-56,-1
-454,885,-63,-1
-428,864,-86,-1
-428,907,-95,-1
-427,836,-91,-1
-424,892,-89,-1
-448,879,-72,-1
-420,842,-117,-1
-454,885,-80,-1
-426,866,-20,-1
-432,922,22,-1
-432,877,0,-1
-410,912,40,-1
-405,895,67,-1
-388,947,48,-1
-399,896,27,-1
-387,908,55,-1
-408,883,23,-1
-403,881,33,-1
-430,888,6,-1
-448,832,-42,-1
-453,934,-39,-1
-458,824,-40,-1
-454,894,-25,-1
-435,852,0,-1
-412,902,21,-1
-416,924,34,-1
-429,865,2,-1
-419,874,14,-1
-406,873,26,-1
-394,908,-3,-1
-391,942,7,-1
-408,924,26,-1
-410,917,53,-1
-392,956,33,-1
-444,822,56,-1
-410,897,7,-1
-419,850,14,-1
-430,845,47,-1
-414,908,7,-1
-450,890,-3,-1
-435,901,21,-1
-429,858,58,-1
-432,814,10,-1
-433,851,-1,-1
-440,917,7,-1
-433,891,-15,-1
-449,883,1,-1
-430,898,20,-1
-422,868,-10,-1
-410,880,-44,-1
-418,882,-35,-1
-417,854,-62,-1
-424,948,-58,-1
-439,878,-37,-1
-427,865,-12,-1
-405,879,-26,-1
-379,845,-28,-1
-333,825,-10,-1
-261,769,29,-1
-206,751,62,-1
-118,788,139,-1
-90,819,227,-1
-6,1133,313,-1
-16,929,336,-1
174,790,579,-1
276,622,746,-1
289,699,799,-1
321,807,769,-1
306,888,685,-1
378,801,665,-1
429,612,714,-1
482,643,758,-1
523,552,658,-1
598,383,635,-1
631,370,673,-1
673,351,703,-1
630,524,576,-1
687,436,578,-1
727,422,525,-1
727,433,459,-1
790,477,423,-1
810,452,361,-1
838,415,320,-1
875,368,273,-1
867,366,248,-1
917,315,195,-1
924,391,202,-1
916,267,95,-1
916,327,92,-1
949,244,71,-1
946,254,49,-1
939,223,32,-1
947,216,14,-1
942,236,21,-1
949,225,23,-1
950,264,19,-1
948,234,40,-1
939,221,33,-1
948,232,42,-1
954,244,30,-1
939,263,36,-1
924,274,39,-1
942,281,60,-1
931,288,85,-1
926,285,91,-1
917,299,89,-1
933,312,98,-1
928,301,95,-1
926,322,76,-1
919,310,88,-1
923,319,95,-1
921,333,95,-1
925,333,96,-1
922,315,99,-1
919,315,98,-1
917,319,91,-1
917,316,95,-1
923,313,107,-1
915,321,114,-1
927,325,121,-1
917,321,132,-1
918,315,124,-1
917,315,123,-1
914,308,122,-1
919,306,139,-1
924,302,140,-1
914,300,142,-1
905,324,134,-1
921,300,143,-1
925,301,156,-1
921,305,141,-1
906,324,138,-1
931,297,129,-1
917,302,140,-1
916,304,130,-1
921,301,147,-1
921,308,142,-1
923,300,140,-1
923,292,132,-1
921,293,127,-1
923,292,121,-1
919,299,131,-1
924,297,133,-1
929,312,138,-1
925,301,131,-1
915,309,127,-1
918,304,126,-1
915,305,140,-1
913,297,155,-1
920,289,177,-1
913,312,169,-1
918,307,164,-1
922,294,174,-1
922,292,173,-1
917,299,170,-1
920,287,174,-1
925,292,179,-1
929,299,176,-1
913,295,168,-1
916,311,165,-1
911,290,184,-1
915,283,210,-1
915,280,216,-1
924,293,215,-1
911,294,211,-1
914,298,191,-1
912,283,176,-1
916,264,180,-1
947,241,198,-1
878,263,139,-1
942,340,201,-1
945,286,181,-1
921,269,134,-1
916,291,137,-1
911,279,185,-1
895,308,208,-1
913,281,228,-1
932,267,252,-1
906,291,229,-1
898,302,237,-1
919,303,228,-1
902,299,225,-1
907,296,223,-1
910,298,219,-1
902,286,228,-1
907,312,225,-1
917,286,218,-1
921,271,220,-1
907,310,187,-1
903,293,180,-1
914,288,205,-1
918,285,224,-1
914,288,223,-1
911,305,224,-1
911,302,223,-1
910,284,211,-1
908,289,202,-1
912,294,211,-1
905,293,222,-1
911,309,234,-1
904,314,232,-1
907,292,241,-1
900,298,245,-1
901,305,234,-1
903,297,228,-1
905,303,223,-1
911,313,229,-1
887,312,224,-1
908,310,231,-1
913,304,232,-1
901,285,246,-1
887,308,261,-1
889,303,271,-1
934,246,278,-1
909,312,263,-1
848,331,260,-1
908,272,250,-1
920,254,282,-1
901,327,241,-1
873,314,226,-1
902,313,255,-1
892,307,267,-1
893,290,301,-1
878,289,339,-1
860,310,342,-1
869,358,354,-1
842,380,352,-1
861,312,346,-1
901,334,336,-1
866,316,297,-1
873,307,298,-1
859,343,300,-1
874,350,297,-1
881,360,257,-1
889,333,263,-1
883,298,258,-1
881,334,276,-1
863,337,319,-1
874,300,360,-1
868,325,339,-1
887,321,343,-1
872,319,313,-1
871,341,279,-1
871,317,273,-1
870,336,260,-1
881,370,245,-1
881,380,244,-1
879,403,267,-1
862,324,306,-1
875,340,315,-1
872,318,356,-1
862,310,371,-1
875,308,397,-1
864,289,380,-1
857,337,381,-1
870,307,342,-1
859,341,302,-1
876,356,246,-1
894,324,210,-1
870,337,232,-1
859,345,254,-1
871,393,301,-1
882,321,335,-1
878,342,317,-1
878,308,334,-1
868,306,320,-1
865,334,326,-1
868,384,333,-1
854,335,333,-1
873,339,327,-1
866,337,319,-1
868,350,285,-1
876,348,273,-1
863,364,262,-1
871,354,268,-1
890,309,289,-1
873,323,312,-1
880,365,287,-1
850,393,267,-1
865,349,279,-1
880,328,308,-1
880,301,316,-1
868,336,293,-1
867,349,303,-1
875,345,299,-1
869,358,300,-1
867,355,290,-1
880,347,302,-1
859,377,282,-1
842,386,288,-1
889,304,315,-1
885,349,318,-1
860,333,290,-1
873,357,268,-1
863,393,260,-1
867,373,263,-1
871,370,266,-1
858,364,293,-1
851,378,307,-1
842,372,319,-1
856,394,333,-1
859,375,329,-1
883,332,315,-1
843,359,271,-1
834,361,311,-1
873,384,304,-1
875,359,301,-1
867,393,272,-1
859,388,261,-1
861,363,271,-1
858,367,288,-1
858,365,309,-1
855,371,324,-1
857,357,332,-1
848,372,320,-1
851,384,309,-1
858,363,316,-1
859,377,307,-1
861,363,296,-1
858,374,295,-1
855,377,292,-1
860,384,304,-1
856,378,300,-1
849,381,299,-1
849,376,308,-1
850,360,330,-1
846,366,350,-1
852,374,342,-1
