Sensors' Acquisition [Hz]: Acc@26.0 
hh:mm:ss.ms, Annotation , AccX [mg], AccY, AccZ
19:56:32.369,,-545,816,-143
19:56:32.406,,-545,805,-129
19:56:32.429,>bike,,,
19:56:32.443,,-543,831,-123
19:56:32.480,,-545,836,-124
19:56:32.517,,-527,830,-128
19:56:32.554,,-520,843,-129
19:56:32.591,,-515,831,-115
19:56:32.628,,-513,841,-106
19:56:32.665,,-512,870,-101
19:56:32.702,,-508,860,-96
19:56:32.739,,-511,825,-104
19:56:32.776,,-495,849,-147
19:56:32.813,,-491,854,-167
19:56:32.850,,-463,809,-149
19:56:32.887,,-454,781,-170
19:56:32.924,,-478,844,-207
19:56:32.961,,-458,862,-242
19:56:32.998,,-444,867,-250
19:56:33.035,,-449,903,-268
19:56:33.072,,-439,880,-268
19:56:33.109,,-445,843,-250
19:56:33.146,,-435,832,-231
19:56:33.183,,-430,781,-200
19:56:33.220,,-395,717,-199
19:56:33.257,,-373,641,-226
19:56:33.294,,-441,663,-331
19:56:33.331,,-475,780,-537
19:56:33.368,,-387,676,-591
19:56:33.405,,-462,793,-627
19:56:33.442,,-386,874,-594
19:56:33.479,,-349,665,-569
19:56:33.516,,-478,755,-554
19:56:33.553,,-456,722,-525
19:56:33.590,,-411,702,-604
19:56:33.627,,-400,774,-537
19:56:33.664,,-391,752,-525
19:56:33.701,,-428,592,-497
19:56:33.738,,-429,548,-565
19:56:33.775,,-399,706,-589
19:56:33.812,,-428,811,-509
19:56:33.849,,-368,558,-520
19:56:33.886,,-311,755,-446
19:56:33.923,,-309,819,-428
19:56:33.960,,-250,938,-321
19:56:33.997,,-255,901,-390
19:56:34.034,,-179,993,-322
19:56:34.071,,-176,953,-268
19:56:34.109,,-156,1033,-274
19:56:34.146,,-149,936,-200
19:56:34.183,,-155,876,-147
19:56:34.220,,-147,983,-96
19:56:34.257,,-145,987,-162
19:56:34.294,,-128,1056,-187
19:56:34.331,,-142,883,-296
19:56:34.368,,-82,934,-255
19:56:34.405,,2,947,-202
19:56:34.442,,58,1116,-29
19:56:34.479,,97,1087,84
19:56:34.516,,100,963,144
19:56:34.553,,132,930,157
19:56:34.590,,140,944,169
19:56:34.627,,130,991,144
19:56:34.664,,106,1006,111
19:56:34.701,,97,993,65
19:56:34.738,,90,991,68
