AccX [mg],AccY,AccZ,Ground Truth
-171,172,869,3
-26,39,1046,3
28,293,984,3
106,165,1059,3
-35,95,1009,3
-19,306,1018,3
-49,300,1036,3
40,354,1014,3
-3,105,957,3
-39,287,1121,3
-49,326,1097,3
-76,293,1033,3
-52,202,1084,3
-100,24,1044,3
-121,145,1043,3
-21,67,963,3
-19,-220,793,3
109,-118,972,3
1,-186,1050,3
92,172,1021,3
37,280,1005,3
45,102,1020,3
86,200,980,3
96,347,911,3
99,351,937,3
82,358,928,3
38,394,885,3
86,567,883,3
68,682,811,3
6,530,800,3
-87,439,908,3
-29,604,856,3
-60,517,840,3
-10,416,914,3
-8,567,889,3
-38,509,859,3
-41,432,895,3
-56,496,876,3
-53,391,916,3
-50,363,914,3
-48,461,941,3
-40,483,943,3
-28,450,934,3
-27,300,944,3
-41,331,927,3
-38,405,930,3
-63,397,953,3
-33,418,978,3
-29,378,948,3
-33,439,907,3
-28,367,894,3
-17,321,903,3
-64,464,909,3
-68,481,919,3
-59,450,903,3
-69,456,879,3
-42,507,869,3
-49,503,869,3
-51,471,890,3
-49,531,876,3
-66,548,885,3
-68,511,888,3
-65,502,871,3
-65,493,877,3
-82,508,877,3
-81,481,899,3
-78,440,879,3
-69,551,881,3
-95,500,901,3
-85,440,891,3
-83,461,880,3
-72,475,905,3
-85,464,889,3
-68,476,892,3
-81,480,892,3
-79,515,882,3
-88,508,894,3
-77,524,881,3
-72,528,860,3
-77,523,856,3
-80,527,833,3
-84,547,853,3
-87,564,856,3
-94,567,866,3
-86,560,846,3
-90,544,843,3
-91,537,889,3
-83,590,862,3
-78,607,882,3
-96,535,863,3
-99,530,840,3
-109,543,850,3
-114,539,836,3
-123,551,838,3
-127,564,832,3
-135,543,817,3
-165,527,882,3
-162,536,849,3
-160,580,856,3
-178,588,890,3
-195,386,866,3
-193,498,899,3
-174,548,879,3
-185,419,883,3
-189,403,898,3
-169,477,865,3
-179,549,898,3
-154,633,870,3
-133,617,821,3
-136,614,824,3
-121,589,783,3
-102,638,849,3
-112,515,836,3
-60,659,803,3
-76,659,837,3
-45,639,777,3
-17,677,786,3
-19,539,847,3
-44,588,788,3
-10,663,780,3
8,603,787,3
-13,602,785,3
24,733,758,3
3,779,633,3
21,759,693,3
28,604,735,3
73,714,667,3
84,744,693,3
39,766,676,3
88,657,752,3
74,659,777,3
59,645,758,3
101,731,777,3
77,681,737,3
54,667,727,3
62,693,753,3
61,680,711,3
41,701,736,3
39,666,742,3
12,685,721,3
33,718,747,3
51,669,723,3
52,693,692,3
61,701,729,3
28,677,694,3
55,730,723,3
38,723,714,3
45,706,715,3
55,716,732,3
35,689,707,3
-15,683,736,3
-42,702,725,3
-40,632,743,3
-64,634,762,3
-85,604,758,3
-81,587,757,3
-61,634,771,3
-55,622,783,3
-44,613,795,3
-32,648,829,3
-67,620,810,3
-75,660,823,3
-49,623,866,3
-43,645,821,3
-37,656,857,3
-52,511,878,3
-45,399,842,3
-41,362,943,3
-76,376,911,3
-105,480,867,3
-55,546,938,3
-50,493,904,3
-35,496,907,3
-44,490,880,3
-45,544,837,3
-33,495,851,3
-51,515,819,3
-61,607,812,3
-49,582,855,3
-44,582,819,3
-40,620,822,3
-58,605,809,3
-68,614,818,3
-67,616,850,3
-88,612,823,3
-66,620,852,3
-71,609,855,3
-79,603,846,3
-80,573,814,3
-81,516,800,3
-72,531,820,3
-77,554,805,3
-76,564,810,3
-92,584,810,3
-83,593,795,3
-72,613,810,3
-79,631,776,3
-78,610,802,3
-70,645,816,3
-86,629,812,3
-83,624,874,3
-68,575,873,3
-94,528,957,3
-87,548,1057,3
59,1162,987,3
-132,1126,1012,3
-14,442,693,3
-151,76,674,3
-221,-95,632,3
-223,-189,505,3
-167,61,541,3
-111,-147,796,3
-231,22,1068,3
-32,-43,1283,3
50,-1273,1039,3
-55,-1013,820,3
-166,-990,798,3
-159,-534,836,3
-194,-382,891,3
-120,-361,892,3
-102,-459,824,3
-65,-606,902,3
-122,-601,900,3
-120,-435,961,3
-90,-339,1056,3
-140,-411,969,3
-120,-446,984,3
-102,-461,991,3
-146,-517,912,3
-197,-343,857,3
-165,-342,916,3
-183,-367,923,3
-150,-326,959,3
-132,-240,956,3
-101,-278,992,3
-87,-363,1003,3
-69,-444,978,3
-41,-322,971,3
-58,-253,971,3
-31,-282,962,3
8,-345,1022,3
13,-271,978,3
27,-266,960,3
33,-271,988,3
42,-324,920,3
69,-338,933,3
80,-320,940,3
80,-276,933,3
87,-412,984,3
65,-189,998,3
7,-200,977,3
5,-283,985,3
-11,-218,915,3
22,-277,940,3
37,-306,903,3
16,-304,937,3
28,-205,1009,3
-13,-229,977,3
7,-208,1040,3
34,-340,1006,3
72,-338,1005,3
42,-241,1020,3
15,-276,972,3
18,-254,999,3
52,-354,959,3
126,-495,950,3
99,-301,961,3
50,-211,951,3
48,-213,974,3
111,-321,921,3
90,-267,941,3
69,-306,976,3
56,-323,978,3
50,-243,1005,3
56,-264,1005,3
57,-271,993,3
58,-289,1015,3
49,-296,978,3
64,-271,965,3
72,-282,979,3
60,-278,967,3
65,-273,1003,3
110,-415,1026,3
98,-336,1002,3
83,-287,999,3
88,-334,963,3
82,-276,987,3
93,-325,960,3
115,-346,929,3
103,-367,949,3
64,-187,959,3
29,-249,943,3
35,-250,975,3
63,-351,952,3
63,-322,960,3
57,-209,976,3
33,-223,961,3
51,-190,993,3
75,-286,973,3
63,-285,991,3
50,-183,1007,3
75,-278,1036,3
116,-251,1042,3
137,-184,999,3
156,-259,984,3
121,-249,952,3
115,-249,982,3
116,-309,1003,3
102,-292,955,3
102,-254,970,3
101,-305,932,3
70,-238,862,3
71,-252,868,3
68,-286,904,3
94,-253,1008,3
135,-277,1092,3
129,-225,1046,3
112,-192,1002,3
128,-91,1074,3
155,-26,1149,3
133,-29,1076,3
108,-4,1009,3
85,-68,965,3
34,-57,942,3
