Sensors' Acquisition [Hz]: Acc@26.0 
hh:mm:ss.ms, Annotation , AccX [mg], AccY, AccZ
18:25:13.389,,-120,322,944
18:25:13.426,,-164,509,866
18:25:13.450,>Bus,,,
18:25:13.463,,-173,715,754
18:25:13.500,,-182,774,803
18:25:13.537,,-170,765,846
18:25:13.574,,-74,570,788
18:25:13.611,,-50,534,826
18:25:13.648,,-43,586,797
18:25:13.685,,-30,582,808
18:25:13.722,,-89,671,862
18:25:13.760,,-82,656,792
18:25:13.797,,-89,633,786
18:25:13.834,,-108,695,794
18:25:13.871,,-59,665,804
18:25:13.908,,-79,735,760
18:25:13.945,,-22,609,696
18:25:13.982,,-73,656,871
18:25:14.019,,-67,671,736
18:25:14.056,,-53,559,687
18:25:14.093,,-35,608,834
18:25:14.130,,-81,740,736
18:25:14.167,,18,520,677
18:25:14.204,,-60,679,804
18:25:14.241,,-21,555,709
18:25:14.278,,15,539,653
18:25:14.315,,-83,595,748
18:25:14.352,,1,524,590
18:25:14.389,,-59,578,734
18:25:14.426,,-73,615,716
18:25:14.463,,-10,612,737
18:25:14.500,,-7,688,856
18:25:14.537,,52,692,840
18:25:14.574,,94,668,669
18:25:14.611,,57,527,669
18:25:14.648,,-1,587,524
18:25:14.685,,0,486,756
18:25:14.722,,-284,999,1184
18:25:14.759,,90,839,347
18:25:14.796,,90,503,743
18:25:14.833,,-107,833,1059
18:25:14.870,,112,663,580
18:25:14.907,,49,640,707
18:25:14.944,,-89,995,933
18:25:14.981,,136,798,532
18:25:15.018,,80,551,735
18:25:15.055,,-91,853,957
18:25:15.093,,66,739,612
18:25:15.130,,26,582,732
18:25:15.167,,10,646,762
18:25:15.204,,66,536,763
18:25:15.241,,-25,810,699
18:25:15.278,,46,654,804
18:25:15.315,,-82,887,860
18:25:15.352,,148,529,569
18:25:15.389,,-78,546,1022
18:25:15.426,,-6,716,635
18:25:15.463,,29,545,581
18:25:15.500,,-89,659,896
18:25:15.537,,-15,804,648
18:25:15.574,,170,285,544
18:25:15.611,,67,443,789
18:25:15.648,,-70,702,1029
18:25:15.685,,151,635,394
18:25:15.722,,154,239,404
18:25:15.759,,-182,176,1092
18:25:15.796,,-187,960,662
18:25:15.833,,16,499,841
18:25:15.870,,-200,767,1009
18:25:15.907,,69,492,815
18:25:15.944,,72,508,844
18:25:15.981,,-99,718,986
18:25:16.018,,-9,836,636
18:25:16.055,,-31,641,803
18:25:16.092,,-52,724,889
18:25:16.130,,42,582,764
18:25:16.167,,44,564,719
18:25:16.204,,69,615,772
18:25:16.241,,-27,793,906
18:25:16.278,,91,629,488
18:25:16.315,,227,279,442
18:25:16.352,,-119,549,1095
18:25:16.389,,-5,815,699
18:25:16.426,,239,384,881
18:25:16.463,,-132,971,998
18:25:16.500,,154,698,487
18:25:16.537,,169,451,842
18:25:16.574,,-228,1069,1024
18:25:16.611,,134,755,448
18:25:16.648,,39,519,850
18:25:16.685,,-262,838,983
18:25:16.722,,72,454,678
18:25:16.759,,-125,645,768
18:25:16.796,,-89,588,617
18:25:16.833,,14,455,534
18:25:16.870,,-192,658,732
18:25:16.907,,8,612,564
18:25:16.944,,-124,694,915
18:25:16.981,,84,696,677
18:25:17.018,,114,459,792
