Sensors' Acquisition [Hz]: Acc@26.0 
hh:mm:ss.ms, Annotation , AccX [mg], AccY, AccZ
14:53:11.379,,12,215,974
14:53:11.416,,46,144,1011
14:53:11.439,>Metro,,,
14:53:11.453,,45,133,977
14:53:11.490,,16,220,991
14:53:11.527,,17,248,1018
14:53:11.564,,62,102,990
14:53:11.601,,73,65,989
14:53:11.638,,40,204,1007
14:53:11.675,,21,194,993
14:53:11.712,,15,171,1002
14:53:11.749,,21,148,972
14:53:11.786,,7,198,1003
14:53:11.823,,23,206,988
14:53:11.860,,27,178,978
14:53:11.897,,24,198,1008
14:53:11.934,,25,181,972
14:53:11.971,,21,178,999
14:53:12.008,,12,204,1002
14:53:12.045,,11,188,982
14:53:12.082,,5,189,1006
14:53:12.119,,2,189,983
14:53:12.156,,1,228,982
14:53:12.193,,1,232,987
14:53:12.230,,7,194,973
14:53:12.267,,-2,242,984
14:53:12.304,,-12,245,981
14:53:12.341,,-14,225,980
14:53:12.378,,-13,230,987
14:53:12.415,,6,217,976
14:53:12.452,,3,189,994
14:53:12.489,,6,171,999
14:53:12.526,,7,163,995
14:53:12.563,,16,166,983
14:53:12.600,,13,160,996
14:53:12.637,,15,191,993
14:53:12.674,,8,235,984
14:53:12.711,,-7,264,993
14:53:12.748,,12,178,994
14:53:12.785,,25,160,993
14:53:12.822,,30,190,995
14:53:12.859,,29,194,992
14:53:12.896,,22,202,992
14:53:12.933,,9,215,977
14:53:12.970,,5,208,1000
14:53:13.007,,10,200,988
14:53:13.044,,15,192,974
14:53:13.081,,14,210,997
14:53:13.118,,2,205,989
14:53:13.155,,-3,209,983
14:53:13.192,,4,207,999
14:53:13.229,,23,179,987
14:53:13.266,,21,192,987
14:53:13.303,,11,196,1003
14:53:13.340,,15,189,995
14:53:13.377,,17,174,993
14:53:13.414,,19,202,997
14:53:13.451,,18,182,985
14:53:13.488,,10,210,1003
14:53:13.525,,6,201,983
14:53:13.562,,8,190,989
14:53:13.599,,10,198,1001
14:53:13.636,,7,180,985
14:53:13.673,,16,193,1000
14:53:13.710,,30,175,993
14:53:13.747,,35,164,983
14:53:13.784,,22,191,986
14:53:13.821,,12,196,998
14:53:13.858,,8,190,981
14:53:13.895,,7,178,980
14:53:13.932,,15,203,1003
14:53:13.969,,24,180,974
14:53:14.006,,20,217,991
14:53:14.043,,19,188,991
14:53:14.080,,18,174,980
14:53:14.117,,11,226,998
14:53:14.154,,15,240,979
14:53:14.191,,20,223,977
14:53:14.228,,21,217,989
14:53:14.265,,33,200,984
14:53:14.302,,20,197,989
14:53:14.339,,11,219,993
14:53:14.376,,20,204,969
14:53:14.413,,18,208,996
14:53:14.450,,12,240,982
14:53:14.487,,15,211,979
14:53:14.524,,23,219,984
14:53:14.561,,21,204,971
14:53:14.598,,17,236,991
14:53:14.635,,14,215,978
14:53:14.672,,7,237,977
14:53:14.709,,13,206,997
14:53:14.746,,10,226,974
14:53:14.783,,7,234,990
14:53:14.820,,15,207,989
14:53:14.857,,22,208,984
14:53:14.894,,13,246,976
14:53:14.931,,12,206,984
14:53:14.968,,8,223,991
14:53:15.005,,4,230,979
14:53:15.042,,11,223,975
14:53:15.079,,18,220,990
14:53:15.116,,3,223,977
14:53:15.153,,-3,226,982
14:53:15.190,,7,226,982
14:53:15.227,,21,198,975
14:53:15.264,,4,241,985
14:53:15.301,,0,235,973
14:53:15.338,,10,222,981
14:53:15.375,,17,225,989
14:53:15.412,,8,212,974
14:53:15.449,,6,243,995
14:53:15.486,,10,227,975
14:53:15.523,,12,219,982
14:53:15.560,,9,233,983
14:53:15.597,,21,215,983
14:53:15.634,,27,217,984
14:53:15.671,,20,219,975
14:53:15.708,,18,234,979
14:53:15.745,,23,232,982
14:53:15.782,,20,219,978
14:53:15.819,,18,229,994
14:53:15.856,,21,211,965
14:53:15.893,,15,214,991
14:53:15.930,,16,250,986
14:53:15.967,,22,203,965
14:53:16.004,,23,222,1001
14:53:16.041,,37,215,990
14:53:16.078,,27,210,979
14:53:16.115,,14,232,992
14:53:16.152,,24,217,979
14:53:16.189,,25,229,992
14:53:16.226,,28,210,982
14:53:16.263,,20,213,985
14:53:16.301,,23,219,983
14:53:16.338,,26,204,981
14:53:16.375,,24,226,988
14:53:16.412,,24,202,985
14:53:16.449,,22,218,989
14:53:16.486,,22,208,980
14:53:16.523,,25,212,994
14:53:16.560,,20,211,972
14:53:16.597,,22,219,986
14:53:16.634,,22,212,990
14:53:16.671,,15,223,978
14:53:16.708,,13,199,1005
14:53:16.745,,20,222,985
14:53:16.782,,43,217,985
14:53:16.819,,21,243,988
14:53:16.856,,12,268,980
14:53:16.893,,1,177,975
14:53:16.930,,23,78,964
14:53:16.967,,10,112,1000
14:53:17.004,,2,182,1005
14:53:17.041,,0,176,984
14:53:17.078,,12,167,995
14:53:17.115,,17,160,1005
14:53:17.152,,26,175,980
14:53:17.189,,20,214,1012
14:53:17.226,,20,168,996
14:53:17.263,,3,176,988
14:53:17.300,,-2,194,993
14:53:17.337,,6,205,998
14:53:17.374,,12,199,985
14:53:17.411,,16,186,987
14:53:17.448,,17,203,992
14:53:17.485,,10,202,988
14:53:17.522,,9,195,1000
14:53:17.559,,5,183,982
14:53:17.596,,8,201,986
14:53:17.633,,11,183,985
14:53:17.670,,10,183,982
14:53:17.707,,7,211,998
14:53:17.744,,9,180,984
14:53:17.781,,4,195,988
14:53:17.818,,9,201,989
14:53:17.855,,9,195,986
