AccX [mg],AccY,AccZ,Ground Truth
1100,453,411,0
1354,426,403,0
1395,251,446,0
1293,281,487,0
959,339,469,0
1014,399,381,0
1140,435,321,0
1212,357,270,0
1018,252,235,0
811,183,198,0
684,210,166,0
642,244,174,0
657,243,188,0
682,213,203,0
761,187,310,0
761,187,310,0
761,187,310,0
934,223,323,0
982,266,358,0
1191,400,391,0
1223,529,588,0
1181,647,654,0
1092,618,519,0
1087,300,389,0
949,24,362,0
788,118,309,0
690,417,251,0
641,631,206,0
578,665,219,0
606,605,352,0
894,546,435,0
1137,479,401,0
1402,490,415,0
1254,377,475,0
1254,377,475,0
1071,373,427,0
1060,380,367,0
1113,381,299,0
1135,321,259,0
1023,261,244,0
862,211,179,0
737,211,161,0
701,244,171,0
756,244,165,0
783,203,174,0
791,187,193,0
756,206,231,0
755,246,325,0
891,241,346,0
902,258,332,0
1054,346,399,0
1067,422,524,0
1141,520,589,0
1117,459,446,0
1117,459,446,0
946,203,367,0
827,175,350,0
764,368,319,0
726,582,290,0
676,673,330,0
648,626,424,0
848,586,495,0
1035,491,481,0
1268,428,481,0
1289,258,465,0
1416,324,487,0
1156,326,486,0
1047,367,397,0
1044,379,311,0
1047,339,238,0
994,296,226,0
797,229,202,0
610,237,194,0
610,237,194,0
644,232,188,0
724,202,205,0
773,180,231,0
768,165,248,0
808,214,280,0
1028,279,319,0
1130,316,320,0
1236,411,417,0
1024,437,566,0
1007,459,603,0
1130,420,501,0
1174,303,398,0
950,213,433,0
760,273,404,0
685,453,345,0
654,569,322,0
682,586,357,0
963,464,447,0
963,464,447,0
940,405,443,0
1016,414,467,0
1118,409,445,0
1268,418,423,0
1238,357,441,0
1147,316,365,0
1109,320,297,0
1181,289,259,0
1071,268,257,0
828,241,272,0
615,238,237,0
529,238,225,0
541,230,239,0
539,192,235,0
611,171,240,0
737,165,256,0
857,197,286,0
1065,284,302,0
1385,495,452,0
1385,495,452,0
1249,594,618,0
1046,581,601,0
975,415,471,0
1022,93,380,0
880,55,354,0
701,228,305,0
576,482,269,0
512,616,263,0
558,623,313,0
748,546,346,0
1012,525,411,0
1049,482,479,0
1181,454,495,0
1182,375,477,0
1289,284,467,0
1105,231,441,0
1095,256,349,0
1092,345,299,0
1092,345,299,0
905,308,256,0
703,254,212,0
591,240,209,0
597,250,226,0
639,226,235,0
666,178,246,0
718,141,268,0
829,171,320,0
992,211,332,0
1091,307,335,0
1171,440,493,0
1121,514,640,0
1102,507,606,0
1122,374,458,0
1057,152,394,0
849,154,363,0
687,294,282,0
642,669,279,0
642,669,279,0
642,669,279,0
798,690,341,0
1044,822,435,0
1253,764,435,0
1277,460,429,0
1440,262,450,0
1220,237,447,0
1214,290,379,0
1176,382,314,0
1254,403,282,0
1152,334,204,0
967,257,144,0
843,232,149,0
771,219,156,0
750,199,169,0
724,143,177,0
698,101,181,0
652,99,205,0
757,165,205,0
958,243,180,0
1056,385,268,0
1247,551,470,0
1546,588,576,0
1439,549,381,0
1148,391,351,0
992,27,395,0
908,203,391,0
866,507,350,0
733,696,324,0
677,804,355,0
797,877,498,0
1011,1022,585,0
1200,716,488,0
1331,291,469,0
1538,181,489,0
1445,205,407,0
1475,315,372,0
1562,388,342,0
1507,376,226,0
1277,367,107,0
985,317,77,0
770,311,80,0
759,283,96,0
786,165,104,0
746,74,137,0
673,-7,205,0
696,-38,213,0
734,4,176,0
861,185,228,0
953,375,298,0
1306,532,392,0
1877,640,569,0
1967,846,710,0
1353,969,549,0
890,384,383,0
890,-130,513,0
868,-26,352,0
866,617,205,0
868,1145,67,0
890,1437,115,0
924,1189,228,0
1292,698,325,0
1495,340,431,0
1846,301,432,0
1725,437,337,0
1681,413,213,0
1565,352,237,0
1394,299,239,0
1017,228,124,0
797,183,108,0
628,165,120,0
510,182,148,0
573,186,196,0
543,130,229,0
513,76,264,0
565,85,257,0
782,142,285,0
1068,222,284,0
1652,425,288,0
1991,724,571,0
1968,1191,783,0
1133,1107,294,0
1102,97,402,0
989,-431,407,0
848,23,274,0
724,701,96,0
540,912,8,0
483,892,128,0
709,873,307,0
1114,851,452,0
1303,561,418,0
1416,268,441,0
1447,321,458,0
1434,378,367,0
1272,413,393,0
1198,326,343,0
1057,296,232,0
1074,358,179,0
969,301,92,0
797,234,64,0
683,218,93,0
713,237,106,0
783,254,123,0
849,228,147,0
823,177,168,0
821,173,214,0
852,180,272,0
957,225,273,0
1052,331,309,0
1159,495,504,0
1382,622,709,0
1387,627,710,0
1075,537,589,0
841,220,518,0
818,195,427,0
806,387,336,0
702,629,325,0
681,796,345,0
845,870,349,0
1013,776,366,0
1271,628,388,0
1281,373,381,0
1357,416,405,0
1370,407,379,0
1382,412,297,0
1322,376,251,0
1233,292,237,0
1004,257,207,0
833,245,153,0
697,226,131,0
586,208,144,0
565,179,161,0
568,150,185,0
604,148,302,0
799,212,374,0
1024,220,395,0
1386,324,466,0
1600,458,638,0
1421,572,723,0
1144,598,584,0
1030,348,431,0
905,119,331,0
777,180,283,0
680,407,225,0
658,620,183,0
623,667,215,0
667,632,308,0
877,573,389,0
1048,512,384,0
1309,504,416,0
1246,380,457,0
1302,388,495,0
1209,341,468,0
1177,329,379,0
1159,313,325,0
1114,272,285,0
912,234,211,0
773,229,168,0
661,238,151,0
636,268,168,0
689,245,183,0
737,213,199,0
815,171,199,0
825,144,197,0
962,233,216,0
1004,302,242,0
1220,450,314,0
1117,503,443,0
1088,532,553,0
1143,470,524,0
1137,347,413,0
958,172,400,0
785,213,401,0
678,388,367,0
623,540,332,0
597,585,361,0
678,566,429,0
884,551,469,0
1037,532,449,0
1209,520,463,0
1153,358,436,0
1259,356,445,0
1212,328,425,0
1215,343,310,0
1251,322,234,0
1194,261,199,0
1013,268,195,0
824,269,160,0
700,292,142,0
742,284,162,0
748,232,180,0
741,171,210,0
713,116,238,0
710,102,253,0
843,170,261,0
920,239,255,0
1165,384,302,0
1265,533,496,0
1298,633,661,0
1259,533,513,0
1191,377,341,0
1043,47,366,0
911,110,364,0
768,346,282,0
