Sensors' Acquisition [Hz]: Acc@26.0 
hh:mm:ss.ms, Annotation , AccX [mg], AccY, AccZ
01:02:15.635,,509,656,109
01:02:15.672,,644,624,126
01:02:15.696,>Walk,,,
01:02:15.710,,836,570,111
01:02:15.747,,959,482,73
01:02:15.784,,997,404,1
01:02:15.821,,992,387,4
01:02:15.858,,956,387,29
01:02:15.895,,909,451,73
01:02:15.932,,792,451,150
01:02:15.969,,661,388,182
01:02:16.006,,631,374,149
01:02:16.043,,680,347,108
01:02:16.080,,747,435,121
01:02:16.117,,794,527,189
01:02:16.154,,701,559,245
01:02:16.191,,703,547,294
01:02:16.315,,1077,570,166
01:02:16.315,,1077,570,166
01:02:16.316,,1077,570,166
01:02:16.339,,1464,677,82
01:02:16.376,,1388,577,15
01:02:16.413,,989,522,21
01:02:16.450,,644,485,31
01:02:16.488,,657,443,-18
01:02:16.525,,772,430,-59
01:02:16.562,,830,464,-73
01:02:16.599,,856,510,-114
01:02:16.636,,878,497,-124
01:02:16.673,,882,508,-161
01:02:16.710,,829,565,-138
01:02:16.747,,800,641,-120
01:02:16.784,,774,703,-71
01:02:16.821,,744,642,-62
01:02:16.858,,695,598,-26
01:02:16.895,,653,551,55
01:02:16.932,,647,520,121
01:02:17.019,,964,418,39
01:02:17.019,,964,418,39
01:02:17.043,,1001,477,55
01:02:17.080,,865,575,289
01:02:17.117,,901,640,308
01:02:17.154,,960,536,180
01:02:17.191,,969,364,61
01:02:17.228,,865,433,116
01:02:17.266,,798,442,98
01:02:17.303,,789,446,37
01:02:17.340,,763,427,-5
01:02:17.377,,725,380,-53
01:02:17.414,,689,403,-8
01:02:17.451,,647,357,52
01:02:17.488,,660,397,70
01:02:17.525,,789,433,109
01:02:17.562,,869,368,88
01:02:17.599,,983,425,105
01:02:17.636,,1172,558,137
01:02:17.673,,1236,582,165
01:02:17.764,,939,591,163
01:02:17.764,,939,591,163
01:02:17.784,,857,541,60
01:02:17.821,,817,561,40
01:02:17.858,,790,547,-3
01:02:17.895,,773,517,-48
01:02:17.932,,793,534,-56
01:02:17.969,,834,537,-78
01:02:18.006,,912,508,-143
01:02:18.044,,986,474,-28
01:02:18.081,,1115,451,-109
01:02:18.118,,1224,387,-136
01:02:18.155,,1150,380,-143
01:02:18.192,,1033,361,-85
01:02:18.229,,1125,318,-87
01:02:18.266,,1005,285,-86
01:02:18.303,,599,331,112
01:02:18.340,,546,484,287
01:02:18.377,,755,381,174
01:02:18.463,,776,324,292
01:02:18.464,,776,324,292
01:02:18.488,,689,337,218
01:02:18.525,,649,395,202
01:02:18.562,,673,438,178
01:02:18.599,,698,561,183
01:02:18.636,,672,698,235
01:02:18.673,,618,713,229
01:02:18.710,,658,723,290
01:02:18.747,,888,694,217
01:02:18.785,,996,659,92
01:02:18.822,,1136,886,83
01:02:18.859,,943,860,150
01:02:18.896,,824,731,58
01:02:18.933,,782,690,16
01:02:18.970,,800,596,-35
01:02:19.007,,716,534,-49
01:02:19.044,,608,571,-21
01:02:19.081,,586,584,35
01:02:19.118,,658,606,-19
01:02:19.206,,694,528,115
01:02:19.206,,694,528,115
01:02:19.229,,700,565,64
01:02:19.266,,726,542,23
01:02:19.303,,749,588,5
01:02:19.340,,718,604,64
01:02:19.377,,971,575,94
01:02:19.414,,1351,537,28
01:02:19.451,,1042,492,247
01:02:19.488,,1032,440,285
01:02:19.525,,1103,294,48
01:02:19.562,,877,300,57
01:02:19.600,,749,446,116
01:02:19.637,,656,356,16
01:02:19.674,,577,458,52
01:02:19.711,,558,375,30
01:02:19.748,,583,420,81
01:02:19.785,,640,477,109
01:02:19.822,,709,494,212
01:02:19.859,,873,467,221
01:02:19.948,,1224,577,141
01:02:19.949,,1224,577,141
01:02:19.970,,1350,691,147
01:02:20.007,,1048,628,174
01:02:20.044,,829,474,170
01:02:20.081,,739,535,150
01:02:20.118,,866,571,87
01:02:20.155,,949,538,41
01:02:20.192,,909,454,32
01:02:20.229,,915,445,65
01:02:20.266,,957,394,78
01:02:20.303,,977,380,80
01:02:20.340,,931,310,91
01:02:20.378,,906,344,56
01:02:20.415,,880,405,33
01:02:20.452,,821,459,45
01:02:20.489,,760,498,53
01:02:20.526,,698,495,85
01:02:20.563,,703,475,168
01:02:20.600,,896,446,145
01:02:20.686,,858,467,275
01:02:20.687,,858,467,275
01:02:20.711,,836,491,361
01:02:20.748,,923,412,312
01:02:20.785,,969,313,254
01:02:20.822,,966,383,267
01:02:20.859,,884,359,200
01:02:20.896,,787,370,180
01:02:20.933,,764,361,183
01:02:20.970,,757,347,162
01:02:21.007,,768,370,177
01:02:21.044,,764,381,212
01:02:21.081,,746,403,242
01:02:21.118,,789,416,293
01:02:21.155,,800,407,296
01:02:21.193,,789,360,233
01:02:21.230,,1135,445,220
01:02:21.267,,1153,577,174
01:02:21.304,,1069,484,138
01:02:21.341,,870,470,170
01:02:21.433,,995,455,44
01:02:21.433,,995,455,44
01:02:21.452,,995,455,44
01:02:21.489,,1064,399,8
01:02:21.526,,971,341,4
01:02:21.563,,915,377,32
01:02:21.600,,893,380,2
01:02:21.637,,884,432,18
01:02:21.674,,866,400,-54
01:02:21.711,,802,525,-16
01:02:21.748,,739,565,-31
01:02:21.785,,674,553,0
01:02:21.822,,852,642,30
01:02:21.859,,806,643,97
01:02:21.896,,726,689,290
01:02:21.933,,866,579,254
01:02:21.971,,905,440,225
01:02:22.008,,822,387,192
01:02:22.045,,759,453,117
01:02:22.082,,682,516,115
01:02:22.119,,611,531,138
01:02:22.156,,637,558,151
01:02:22.193,,702,571,201
01:02:22.230,,786,566,183
01:02:22.267,,816,559,204
01:02:22.304,,756,494,223
01:02:22.341,,727,496,187
01:02:22.378,,738,495,208
01:02:22.415,,789,550,218
01:02:22.452,,892,498,163
01:02:22.489,,988,531,157
01:02:22.526,,821,500,110
01:02:22.563,,773,490,87
01:02:22.600,,778,539,56
01:02:22.637,,795,594,-11
01:02:22.674,,788,658,-8
